Standard,Control Type,Clause / Annex Section,Domain / Control Area,Control ID,Control Title,Control Description,Control Objective,Audit Question,Expected Evidence,Audit Method,Applicable (Y/N),Status,Remarks,,,
ISO/IEC 42001:2023,Clause,4,Context of the organization,4.1,Understanding the organization and its context,The organization shall determine external and internal issues that are relevant to its purpose and that affect its ability to achieve the intended outcome(s) of its AI management system.,To ensure the organization understands the environment in which it operates.,Has the organization determined external and internal issues relevant to its purpose and AIMS?,Context of Organization Document; SWOT Analysis; Strategic Plan,Interview/Review,Y,,,,,
ISO/IEC 42001:2023,Clause,4,Context of the organization,4.2,Understanding the needs and expectations of interested parties,The organization shall determine: a) the interested parties that are relevant to the AI management system; b) the relevant requirements of these interested parties; c) which of these requirements will be addressed through the AI management system.,To identify stakeholders and their requirements regarding AI.,Have relevant interested parties and their requirements for the AIMS been identified?,List of Interested Parties; Stakeholder Requirement Matrix,Interview/Review,Y,,,,,
ISO/IEC 42001:2023,Clause,4,Context of the organization,4.3,Determining the scope of the AI management system,The organization shall determine the boundaries and applicability of the AI management system to establish its scope.,To define the boundaries of the AIMS.,Has the scope of the AIMS been determined and documented?,AIMS Scope Document,Review,Y,,,,,
ISO/IEC 42001:2023,Clause,4,Context of the organization,4.4,AI management system,"The organization shall establish, implement, maintain and continually improve an AI management system, including the processes needed and their interactions, in accordance with the requirements of this document.",To establish a functional AIMS.,Is the AIMS established, implemented, maintained, and continually improved?,AIMS Framework; Process Interaction Map,Interview/Observation,Y,,
ISO/IEC 42001:2023,Clause,5,Leadership,5.1,Leadership and commitment,Top management shall demonstrate leadership and commitment with respect to the AI management system.,To ensure top management is actively involved in the AIMS.,Does top management demonstrate leadership and commitment to the AIMS?,Management Meeting Minutes; AI Policy Approval,Interview/Review,Y,,,,,
ISO/IEC 42001:2023,Clause,5,Leadership,5.2,AI Policy,Top management shall establish an AI policy that: a) is appropriate to the purpose of the organization; b) provides a framework for setting AI objectives; c) includes a commitment to satisfy applicable requirements.,To provide high-level direction for AI management.,Has an AI policy been established by top management?,AI Policy Document,Review,Y,,,,,
ISO/IEC 42001:2023,Clause,5,Leadership,5.3,Organizational roles, responsibilities and authorities,Top management shall ensure that the responsibilities and authorities for relevant roles are assigned and communicated within the organization.,To assign clear roles for AIMS.,Are roles, responsibilities, and authorities for the AIMS assigned and communicated?,Job Descriptions; Org Chart; RACI Matrix,Interview/Review,Y,,
ISO/IEC 42001:2023,Clause,6,Planning,6.1.1,General,"When planning for the AI management system, the organization shall consider the issues referred to in 4.1 and the requirements referred to in 4.2 and determine the risks and opportunities that need to be addressed.",To ensure risks and opportunities are addressed.,Does the organization consider issues and requirements when planning the AIMS?,Risk & Opportunity Register,Review,Y,,,,,
ISO/IEC 42001:2023,Clause,6,Planning,6.1.2,AI risk assessment,"The organization shall define and apply an AI risk assessment process that: a) establishes the risk criteria; b) ensures that repeated AI risk assessments produce consistent, valid and comparable results; c) identifies the AI risks.",To identify and evaluate AI risks.,Is there a defined and applied AI risk assessment process?,AI Risk Assessment Methodology; Risk Assessment Reports,Review,Y,,,,,
ISO/IEC 42001:2023,Clause,6,Planning,6.1.3,AI risk treatment,"The organization shall define and apply an AI risk treatment process to: a) select appropriate AI risk treatment options, taking account of the risk assessment results; b) determine all controls that are necessary to implement the AI risk treatment option(s) chosen.",To treat identified AI risks effectively.,Is there a defined and applied AI risk treatment process?,Risk Treatment Plan; Statement of Applicability (SoA),Review,Y,,,,,
ISO/IEC 42001:2023,Clause,6,Planning,6.1.4,AI system impact assessment,The organization shall define and apply a process to assess the potential consequences for individuals and society that can result from the deployment or use of the AI systems.,To assess the impact of AI on individuals and society.,Is there a process for assessing AI system impacts on individuals and society?,AI Impact Assessment Process; Impact Assessment Records,Review,Y,,,,,
